question,criteria,golden_answer,replication_id,actual_answer,judge_reasoning,score_correctness,score_quality,duration_seconds,agg_pass_rate,agg_avg_quality,is_stable
How many customers are currently on the Enterprise plan?,Should correctly count all subscriptions with plan_tier='Enterprise' (6 total),"There are 6 customers on the Enterprise plan: Acme Corp, Global Finance Ltd, Legal Partners LLP, Pharma Innovations, MegaCorp International, and City Hospital Network.",1,There are 4 customers currently on the Enterprise plan.,"The answer is incorrect as it states there are 4 customers on the Enterprise plan, while the correct number is 6. This fails the correctness criteria, and since correctness is 0, quality must also be 0.",0,0,5.29,33.33333333333333,0.3333333333333333,False
How many customers are currently on the Enterprise plan?,Should correctly count all subscriptions with plan_tier='Enterprise' (6 total),"There are 6 customers on the Enterprise plan: Acme Corp, Global Finance Ltd, Legal Partners LLP, Pharma Innovations, MegaCorp International, and City Hospital Network.",2,There are 6 customers on the Enterprise plan.,"The answer correctly states the number of customers on the Enterprise plan (6), which meets the correctness criteria. However, it fails to list the specific customers as required by the golden answer, resulting in a bare minimum quality score.",1,1,5.07,33.33333333333333,0.3333333333333333,False
How many customers are currently on the Enterprise plan?,Should correctly count all subscriptions with plan_tier='Enterprise' (6 total),"There are 6 customers on the Enterprise plan: Acme Corp, Global Finance Ltd, Legal Partners LLP, Pharma Innovations, MegaCorp International, and City Hospital Network.",3,There are 4 customers currently on the Enterprise plan.,"The answer is incorrect as it states there are 4 customers on the Enterprise plan, while the Golden Answer and criteria confirm there are 6. This fails the correctness criterion, and thus the quality must also be 0.",0,0,14.97,33.33333333333333,0.3333333333333333,False
What is our total Monthly Recurring Revenue (MRR) from active subscriptions only?,Should sum monthly_revenue for all status='active' subscriptions: 15000+3500+25000+800+2800+1200+30000+3200+600+45000=127100,"The total MRR from active subscriptions is $127,100. This includes: Acme Corp ($15,000), TechStart Inc ($3,500), Global Finance Ltd ($25,000), RetailChain Co ($800), EduTech Academy ($2,800), Manufacturing Pro ($1,200), Pharma Innovations ($30,000), Finance Advisors ($3,200), SmallBiz Tools ($600), and MegaCorp International ($45,000).",1,"The total monthly recurring revenue from active subscriptions is $127,100.","The answer is factually correct and provides the total MRR from active subscriptions, which matches the Golden Answer. However, it only provides the total number without any additional context or breakdown, making it the bare minimum in terms of quality.",1,1,8.67,100.0,1.0,True
What is our total Monthly Recurring Revenue (MRR) from active subscriptions only?,Should sum monthly_revenue for all status='active' subscriptions: 15000+3500+25000+800+2800+1200+30000+3200+600+45000=127100,"The total MRR from active subscriptions is $127,100. This includes: Acme Corp ($15,000), TechStart Inc ($3,500), Global Finance Ltd ($25,000), RetailChain Co ($800), EduTech Academy ($2,800), Manufacturing Pro ($1,200), Pharma Innovations ($30,000), Finance Advisors ($3,200), SmallBiz Tools ($600), and MegaCorp International ($45,000).",2,"The total monthly recurring revenue from active subscriptions is 127,100.","The answer is factually correct and provides the total monthly recurring revenue from active subscriptions, which matches the Golden Answer. However, it only provides the final number without any additional context, breakdown, or formatting, making it the bare minimum required to answer the question.",1,1,5.94,100.0,1.0,True
What is our total Monthly Recurring Revenue (MRR) from active subscriptions only?,Should sum monthly_revenue for all status='active' subscriptions: 15000+3500+25000+800+2800+1200+30000+3200+600+45000=127100,"The total MRR from active subscriptions is $127,100. This includes: Acme Corp ($15,000), TechStart Inc ($3,500), Global Finance Ltd ($25,000), RetailChain Co ($800), EduTech Academy ($2,800), Manufacturing Pro ($1,200), Pharma Innovations ($30,000), Finance Advisors ($3,200), SmallBiz Tools ($600), and MegaCorp International ($45,000).",3,"The total Monthly Recurring Revenue (MRR) from active subscriptions is 127,100.","The answer is factually correct and provides the total MRR from active subscriptions, which matches the Golden Answer. However, the quality is minimal as it only provides the final number without any additional context or breakdown, which is present in the Golden Answer.",1,1,6.93,100.0,1.0,True
Which companies have churned and what was their combined monthly revenue?,Should identify status='churned' and sum their monthly_revenue: 4200+5000=9200,"Two companies have churned: HealthPlus Medical ($4,200/month) and CloudBase Systems ($5,000/month). Their combined monthly revenue was $9,200.",1,"I found two companies that have churned:
- CloudBase Systems has a combined monthly revenue of $5000.
- HealthPlus Medical has a combined monthly revenue of $4200.

I used the status column to find companies that have churned and then summed their monthly revenue.","The answer correctly identifies the two churned companies and their respective monthly revenues, which aligns with the Golden Answer. However, it fails to explicitly state the combined monthly revenue of $9,200, which is a key part of the question. The reasoning provided is accurate but lacks the final summation in the response. The quality is good but not perfect due to the omission of the combined revenue figure.",1,3,14.6,100.0,3.0,True
Which companies have churned and what was their combined monthly revenue?,Should identify status='churned' and sum their monthly_revenue: 4200+5000=9200,"Two companies have churned: HealthPlus Medical ($4,200/month) and CloudBase Systems ($5,000/month). Their combined monthly revenue was $9,200.",2,"Two companies have churned: CloudBase Systems and HealthPlus Medical. Their combined monthly revenues are $5000 and $4200 respectively. Both companies are on the Professional plan tier, with CloudBase Systems having purchased 80 seats and used 45, and HealthPlus Medical having purchased 75 seats and used 58. Both companies have an outstanding balance and auto renew is off for both. The utilisation percentage is 56.25% for CloudBase Systems and 77.33% for HealthPlus Medical. The average monthly revenue for companies on the Professional plan tier is $3533.33.","The answer correctly identifies the two churned companies and their respective monthly revenues, which sum to $9,200. However, it includes additional unnecessary details about plan tiers, seats, utilization, and average monthly revenue, making it verbose and less focused on the core question. It also does not match the concise and direct tone of the Golden Answer.",1,3,22.87,100.0,3.0,True
Which companies have churned and what was their combined monthly revenue?,Should identify status='churned' and sum their monthly_revenue: 4200+5000=9200,"Two companies have churned: HealthPlus Medical ($4,200/month) and CloudBase Systems ($5,000/month). Their combined monthly revenue was $9,200.",3,The companies that have churned are CloudBase Systems and HealthPlus Medical. CloudBase Systems has a combined monthly revenue of $5000 and HealthPlus Medical has a combined monthly revenue of $4200. CloudBase Systems is in the Technology industry and HealthPlus Medical is in the Healthcare industry. Both companies are on the Professional plan tier.,"The answer correctly identifies the churned companies and their respective monthly revenues, but it fails to sum the revenues as required by the question. It also includes additional information (industry and plan tier) that is not requested, making it slightly verbose. The core information is correct, but the presentation does not match the Golden Answer in detail or formatting.",1,3,16.8,100.0,3.0,True
List all Healthcare industry customers and their current status.,Should filter by industry='Healthcare' and return all 3 with their statuses,"There are 3 Healthcare customers: HealthPlus Medical (churned), Pharma Innovations (active), and City Hospital Network (pending_renewal).",1,"There are three healthcare industry customers:

1. HealthPlus Medical with a churned status.
2. Pharma Innovations with an active status.
3. City Hospital Network with a pending_renewal status.","The answer correctly identifies the three healthcare customers and their statuses, matching the Golden Answer in content. However, the formatting and style differ slightly, as the actual answer uses a numbered list and includes additional descriptive phrases like 'with a churned status', which are not present in the Golden Answer. This results in a Quality score of 4, as it is great but not a perfect match in tone and formatting.",1,4,24.5,100.0,4.0,True
